username,email,businesscomponent_shortname
George Washington,George.Washington@world.gov,TPOPSP
John Adams,John.Adams@world.gov,TPODES
Thomas Jefferson,Thomas.Jefferson@world.gov,TPPTDV
James Madison,James.Madison@world.gov,TPTDEC
James Monroe,James.Monroe@world.gov,TPOTOC
John Adams,John.Adams@world.gov,TPOCAM
Andrew Jackson,Andrew.Jackson@world.gov,TPTDCM
Martin Buren,Martin.Buren@world.gov,TPOPCA
William Harrison,William.Harrison@world.gov,TPOCLM
John Tyler,John.Tyler@world.gov,TPTDLM
James Polk,James.Polk@world.gov,TPOTDS
Zachary Taylor,Zachary.Taylor@world.gov,TPOPAY
Millard Fillmore,Millard.Fillmore@world.gov,TPOCOM
Franklin Pierce,Franklin.Pierce@world.gov,TPOCUS
James Buchanan,James.Buchanan@world.gov,TPOLOP
Abraham Lincoln,Abraham.Lincoln@world.gov,TPOTRP
Andrew Johnson,Andrew.Johnson@world.gov,TPOFXP
Ulysses Grant,Ulysses.Grant@world.gov,TPOSEP
Rutherford Hayes,Rutherford.Hayes@world.gov,TPODEP
James Garfield,James.Garfield@world.gov,TPONOR
Chester Arthur,Chester.Arthur@world.gov,TPOTAR
Grover Cleveland,Grover.Cleveland@world.gov,TPGLPS
Benjamin Harrison,Benjamin.Harrison@world.gov,TRAFXT
William McKinley,William.McKinley@world.gov,TRAFUT
Theodore Roosevelt,Theodore.Roosevelt@world.gov,TRABST
William Taft,William.Taft@world.gov,TRAEQT
Woodrow Wilson,Woodrow.Wilson@world.gov,TRABOT
Warren Harding,Warren.Harding@world.gov,COSCCD
Calvin Coolidge,Calvin.Coolidge@world.gov,COSMAD
Herbert Hoover,Herbert.Hoover@world.gov,COSPID
Franklin Roosevelt,Franklin.Roosevelt@world.gov,COSTRS
Harry Truman,Harry.Truman@world.gov,COSGLO
Dwight Eisenhower,Dwight.Eisenhower@world.gov,COSFTS
John Kennedy,John.Kennedy@world.gov,COSGNS
Lyndon Johnson,Lyndon.Johnson@world.gov,COSGLS
Richard Nixon,Richard.Nixon@world.gov,COSFLS
Gerald Ford,Gerald.Ford@world.gov,RDMCCD
Jimmy Carter,Jimmy.Carter@world.gov,RDMMAD
Ronald Reagan,Ronald.Reagan@world.gov,RDMPID
George Bush,George.Bush@world.gov,ALOCRL
Bill Clinton,Bill.Clinton@world.gov,ALOTRF
Barack Obama,Barack.Obama@world.gov,ALOTIR
Donald Trump,Donald.Trump@world.gov,ALOSAS
